TCGA-3C-AALI	TCGA-A1-A0SO	TCGA-A2-A04P	TCGA-A2-A04Q	TCGA-A2-A04T	TCGA-A2-A04U	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D2	TCGA-A2-A0ST	TCGA-A2-A0SX	TCGA-A2-A0T0	TCGA-A2-A0T2	TCGA-A2-A0YE	TCGA-A2-A0YJ	TCGA-A2-A0YM	TCGA-A2-A1G1	TCGA-A2-A25F	TCGA-A2-A3XT	TCGA-A2-A3XU	TCGA-A2-A3XX	TCGA-A2-A4S1	TCGA-A7-A0CE	TCGA-A7-A0DA	TCGA-A7-A13D	TCGA-A7-A13E	TCGA-A7-A26F	TCGA-A7-A26G	TCGA-A7-A26I	TCGA-A7-A4SD	TCGA-A7-A4SE	TCGA-A7-A5ZV	TCGA-A7-A6VV	TCGA-A8-A07O	TCGA-AC-A2BK	TCGA-AC-A62X	TCGA-AC-A6IW	TCGA-AC-A8OQ	TCGA-AN-A04D	TCGA-AN-A0AL	TCGA-AN-A0AR	TCGA-AN-A0AT	TCGA-AN-A0FJ	TCGA-AN-A0FL	TCGA-AN-A0FX	TCGA-AN-A0XU	TCGA-AO-A0J6	TCGA-AO-A124	TCGA-AO-A128	TCGA-AO-A129	TCGA-AO-A12F	TCGA-AO-A1KR	TCGA-AR-A0TP	TCGA-AR-A0TS	TCGA-AR-A0U0	TCGA-AR-A0U4	TCGA-AR-A1AH	TCGA-AR-A1AI	TCGA-AR-A1AJ	TCGA-AR-A1AQ	TCGA-AR-A1AY	TCGA-AR-A24Q	TCGA-AR-A251	TCGA-AR-A256	TCGA-AR-A5QQ	TCGA-B6-A0I2	TCGA-B6-A0IJ	TCGA-B6-A0IQ	TCGA-B6-A0RT	TCGA-B6-A0RU	TCGA-B6-A0WX	TCGA-B6-A0X1	TCGA-BH-A0AV	TCGA-BH-A0B3	TCGA-BH-A0B9	TCGA-BH-A0BW	TCGA-BH-A0DL	TCGA-BH-A0E0	TCGA-BH-A0E6	TCGA-BH-A0RX	TCGA-BH-A18G	TCGA-BH-A18Q	TCGA-BH-A18T	TCGA-BH-A18V	TCGA-BH-A1F0	TCGA-BH-A1F6	TCGA-BH-A1FC	TCGA-C8-A12K	TCGA-C8-A12V	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A1HJ	TCGA-C8-A27B	TCGA-D8-A142	TCGA-D8-A143	TCGA-D8-A147	TCGA-D8-A1JK	TCGA-D8-A1JL	TCGA-D8-A1JM	TCGA-D8-A1XK	TCGA-D8-A1XQ	TCGA-D8-A27F	TCGA-D8-A27H	TCGA-D8-A27M	TCGA-E2-A14N	TCGA-E2-A14X	TCGA-E2-A14Y	TCGA-E2-A150	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A1AZ	TCGA-E2-A1B6	TCGA-E2-A1LG	TCGA-E2-A1LK	TCGA-E2-A1LL	TCGA-E2-A574	TCGA-E9-A1N8	TCGA-E9-A1N9	TCGA-E9-A1ND	TCGA-E9-A22G	TCGA-E9-A243	TCGA-E9-A244	TCGA-E9-A3QA	TCGA-E9-A5FL	TCGA-EW-A1P4	TCGA-EW-A1P8	TCGA-EW-A1PB	TCGA-EW-A6SB	TCGA-GM-A2DF	TCGA-GM-A3XL	TCGA-HN-A2NL	TCGA-LL-A5YP	TCGA-LL-A6FR	TCGA-LL-A8F5	TCGA-OL-A5D7	TCGA-OL-A5RW	TCGA-OL-A5S0	TCGA-OL-A66I	TCGA-OL-A6VO	TCGA-PL-A8LV	TCGA-S3-AA0Z	TCGA-S3-AA10	TCGA-S3-AA15
ACACA	0	1	-1	-1	0	0	0	0	0	0	0	1	0	1	1	1	1	-1	-1	0	0	-1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	-1	1	0	1	-1	0	0	0	1	1	0	0	0	-1	0	0	-1	0	1	0	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0	-1	1	0	1	0	-1	-1	0	1	1	0	0	1	0	-1	0	0	0	0	1	1	0	0	1	0	0	-1	0	-1	0	1	0	0	0	0	1	0	-1	0	0	1	-1	0	1	0	-1	0	0	0	0	0	1	0	-1	-1	0	-1	0	-1	-1	0	-1	0	-1	0	0	0	0	0
ACVRL1	-1	-1	1	1	0	0	0	-1	1	1	0	0	1	-1	-1	0	0	1	0	-1	0	1	0	0	0	-1	0	0	0	0	1	-1	1	0	-1	-1	1	1	0	1	-1	0	0	0	0	-1	-1	-1	1	1	1	-1	-1	1	0	0	0	-1	1	0	-1	0	0	-1	1	-1	0	-1	1	0	0	-1	1	0	-1	-1	0	-1	1	1	0	0	-1	1	1	0	-1	0	1	1	0	0	-1	1	0	-1	1	0	-1	-1	0	0	1	0	-1	0	-1	0	-1	0	1	0	-1	-1	0	-1	-1	0	0	-1	0	-1	0	0	0	0	0	-1	1	-1	0	1	1	0	-1	-1	1	0	0	0	0	0	1
AKT1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	-1	-1	0	0	0	1	0	0	1	-1	0	-1	0	0	0	0	1	-1	0	0	0	0	0	1	1	0	0	1	0	0	-1	0	0	0	0	0	1	0	-1	0	-1	-1	0	0	0	0	-1	-1	1	0	0	-1	0	1	-1	0	0	1	-1	-1	0	0	0	0	1	0	0	1	0	-1	-1	-1	-1	1	0	0	-1	0	1	-1	1	0	-1	0	0	0	1	0	0	0	0	0	0	1	-1	0	-1	0	1	-1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
AKT2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	-1	0	0	0	1	0	0	1	1	0	0	-1	1	1	1	0	0	-1	0	0	1	1	0	0	0	-1	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	0	0	0	0	-1	0	-1	0	0	-1	0	1	0	0	0	0	-1	0	0	1	1	-1	0	0	0	-1	-1	0	0	1	-1	0	1	0	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	-1	-1	1	0	0	0	0	0	-1	1	-1	1	1	0	0	0	1	0	0	1	0	0	0
AKT3	1	-1	-1	0	1	-1	1	1	-1	0	1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	1	0	1	1	-1	1	0	0	1	-1	-1	1	1	-1	0	-1	-1	1	-1	1	-1	1	-1	-1	1	0	-1	1	1	-1	1	-1	-1	0	-1	1	1	0	-1	-1	-1	1	-1	1	0	1	-1	1	0	0	1	-1	1	1	0	-1	-1	1	1	0	0	1	1	-1	-1	-1	-1	1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	1	1	-1	0	0	-1	0	-1	1	0	1	0	1	0	0	1	0	-1	1	-1	0	1	1	1	0	1	-1	-1	0
ANXA1	1	-1	0	-1	-1	-1	0	1	0	0	0	1	0	-1	1	0	1	1	-1	1	-1	1	-1	1	0	0	1	0	1	-1	-1	0	0	-1	-1	-1	-1	0	-1	0	1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	0	0	0	-1	-1	0	0	-1	0	1	1	1	-1	0	-1	-1	0	1	1	1	0	-1	1	1	-1	-1	0	1	0	-1	-1	0	1	-1	0	0	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	0	1	-1	0	1	-1	0	-1	1	-1	0	0	0	-1	1	-1	0	0
ANXA7	-1	0	0	0	-1	1	1	-1	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	0	0	-1	0	0	1	0	1	0	-1	0	0	0	0	1	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	-1	1	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	1	-1	0	1	0	0	0	0	0	0	0	1	-1	0	-1	0	0	-1	0	0	0	0	0	0	0
AR	-1	-1	-1	1	-1	-1	-1	-1	0	1	1	1	0	1	-1	-1	1	1	-1	-1	-1	0	1	0	0	-1	1	1	1	-1	1	-1	1	1	-1	1	0	1	-1	1	1	-1	-1	1	1	1	-1	0	0	0	1	1	0	1	-1	0	1	-1	1	0	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	0	-1	1	0	1	-1	1	-1	0	0	-1	1	-1	0	1	-1	-1	-1	1	1	0	1	1	-1	-1	-1	0	1	1	1	-1	-1	0	-1	1	1	-1	-1	-1	1	-1	-1	1	0	-1	1	1	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1
ARID1A	1	0	-1	0	0	-1	0	-1	0	0	1	-1	0	1	0	1	0	0	0	0	0	-1	0	0	0	1	0	0	1	0	0	-1	1	0	0	-1	-1	0	0	0	0	0	1	-1	0	0	-1	0	1	0	0	-1	0	1	0	0	0	0	1	0	1	0	0	0	-1	-1	0	1	1	0	-1	0	0	0	-1	0	1	0	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-1	0	-1	0	0	0	0	1	1	0	1	1	0	-1	0	0	1	-1	1	1	0	1	0	0	-1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	0	-1	-1	0	0	0	1	0	0
ASNS	1	0	0	-1	0	0	0	-1	1	-1	0	0	0	-1	1	-1	0	0	0	0	-1	-1	0	1	1	1	0	-1	1	0	1	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	-1	0	1	1	0	0	-1	0	0	-1	1	-1	0	0	-1	0	-1	1	1	0	-1	0	0	0	0	0	-1	1	0	1	0	-1	0	0	1	0	-1	-1	0	1	-1	0	1	1	-1	-1	1	1	1	1	0	0	0	1	1	1	1	0	-1	1	1	0	0	0	0	0	-1	0	-1	-1	-1	1	0	-1	0	1	-1	1	1	-1	-1	0	1	1	0	0	1	0	0	1	-1	1	0	0	0	0	-1	1	0
